price,edhrecRank,edhrecSaltiness,manaValue,rarity,artist,finishes,currency,hasFoil,supertypes,hasNonFoil,gameAvailability,priceProvider,setCode,type
0.02,9476.0,0.84,8.0,3,77,3,1,1,0,1,0,0,83,53
0.03,9476.0,0.84,8.0,3,77,3,1,1,0,1,0,0,83,53
1.87,9476.0,0.84,8.0,3,77,3,1,1,0,1,1,4,83,53
29.16,9476.0,0.84,8.0,3,77,3,1,1,0,1,1,4,83,53
0.91,9476.0,0.84,8.0,3,77,3,0,1,0,1,1,2,83,53
12.62,9476.0,0.84,8.0,3,77,3,0,1,0,1,1,2,83,53
0.6,9476.0,0.84,8.0,3,77,3,1,1,0,1,1,1,83,53
8.0,9476.0,0.84,8.0,3,77,3,1,1,0,1,1,1,83,53
19.99,9476.0,0.84,8.0,3,77,3,1,1,0,1,1,1,83,53
1.85,9476.0,0.84,8.0,3,77,3,1,1,0,1,1,3,83,53
0.02,11201.0,0.97,3.0,3,95,3,1,1,0,1,0,0,83,112
0.03,11201.0,0.97,3.0,3,95,3,1,1,0,1,0,0,83,112
2.26,11201.0,0.97,3.0,3,95,3,1,1,0,1,1,4,83,112
42.45,11201.0,0.97,3.0,3,95,3,1,1,0,1,1,4,83,112
1.22,11201.0,0.97,3.0,3,95,3,0,1,0,1,1,2,83,112
14.6,11201.0,0.97,3.0,3,95,3,0,1,0,1,1,2,83,112
0.4,11201.0,0.97,3.0,3,95,3,1,1,0,1,1,1,83,112
13.8,11201.0,0.97,3.0,3,95,3,1,1,0,1,1,1,83,112
2.29,11201.0,0.97,3.0,3,95,3,1,1,0,1,1,1,83,112
1.92,11201.0,0.97,3.0,3,95,3,1,1,0,1,1,3,83,112
0.02,25171.0,0.18,5.0,3,50,3,1,1,0,1,0,0,83,131
0.02,25171.0,0.18,5.0,3,50,3,1,1,0,1,0,0,83,131
0.26,25171.0,0.18,5.0,3,50,3,1,1,0,1,1,4,83,131
2.24,25171.0,0.18,5.0,3,50,3,1,1,0,1,1,4,83,131
0.08,25171.0,0.18,5.0,3,50,3,0,1,0,1,1,2,83,131
2.37,25171.0,0.18,5.0,3,50,3,0,1,0,1,1,2,83,131
0.45,25171.0,0.18,5.0,3,50,3,1,1,0,1,1,1,83,131
0.35,25171.0,0.18,5.0,3,50,3,1,1,0,1,1,1,83,131
1.49,25171.0,0.18,5.0,3,50,3,1,1,0,1,1,1,83,131
0.3,25171.0,0.18,5.0,3,50,3,1,1,0,1,1,3,83,131
0.02,14016.0,0.2,4.0,3,197,3,1,1,0,1,0,0,83,139
0.02,14016.0,0.2,4.0,3,197,3,1,1,0,1,0,0,83,139
0.7,14016.0,0.2,4.0,3,197,3,1,1,0,1,1,4,83,139
6.08,14016.0,0.2,4.0,3,197,3,1,1,0,1,1,4,83,139
0.42,14016.0,0.2,4.0,3,197,3,0,1,0,1,1,2,83,139
3.88,14016.0,0.2,4.0,3,197,3,0,1,0,1,1,2,83,139
0.33,14016.0,0.2,4.0,3,197,3,1,1,0,1,1,1,83,139
