price,artist,cardFinish,colorIdentity,colors,edhrecRank,edhrecSaltiness,gameAvailability,isReprint,layout,manaCost,manaValue,name,number,originalType,power,priceProvider,providerListing,rarity,setCode,supertypes,toughness,type,types,uuid
0.03,341,2,23,23,20330.0,0.09,0,0,4,60,4.0,77,178,578,6,0,0,2,118,0,6,222,2,c49cdef6-e33c-55a0-869e-76d0f6be5fd2
0.5,341,1,23,23,20330.0,0.09,0,0,4,60,4.0,77,178,578,6,0,0,2,118,0,6,222,2,c49cdef6-e33c-55a0-869e-76d0f6be5fd2
1.31,341,2,23,23,20330.0,0.09,1,0,4,60,4.0,77,178,578,6,3,0,2,118,0,6,222,2,c49cdef6-e33c-55a0-869e-76d0f6be5fd2
0.15,341,2,23,23,20330.0,0.09,1,0,4,60,4.0,77,178,578,6,1,1,2,118,0,6,222,2,c49cdef6-e33c-55a0-869e-76d0f6be5fd2
0.99,341,2,23,23,20330.0,0.09,1,0,4,60,4.0,77,178,578,6,1,0,2,118,0,6,222,2,c49cdef6-e33c-55a0-869e-76d0f6be5fd2
1.57,341,2,23,23,20330.0,0.09,1,0,4,60,4.0,77,178,578,6,2,0,2,118,0,6,222,2,c49cdef6-e33c-55a0-869e-76d0f6be5fd2
0.02,8,2,28,28,21550.0,0.07,0,0,4,134,5.0,424,585,578,6,0,0,2,118,0,7,261,2,2c0c052c-9dcd-56da-bf0b-3cdb299cfec8
0.37,8,1,28,28,21550.0,0.07,0,0,4,134,5.0,424,585,578,6,0,0,2,118,0,7,261,2,2c0c052c-9dcd-56da-bf0b-3cdb299cfec8
0.85,8,2,28,28,21550.0,0.07,1,0,4,134,5.0,424,585,578,6,3,0,2,118,0,7,261,2,2c0c052c-9dcd-56da-bf0b-3cdb299cfec8
0.25,8,2,28,28,21550.0,0.07,1,0,4,134,5.0,424,585,578,6,1,1,2,118,0,7,261,2,2c0c052c-9dcd-56da-bf0b-3cdb299cfec8
0.99,8,2,28,28,21550.0,0.07,1,0,4,134,5.0,424,585,578,6,1,0,2,118,0,7,261,2,2c0c052c-9dcd-56da-bf0b-3cdb299cfec8
0.9,8,2,28,28,21550.0,0.07,1,0,4,134,5.0,424,585,578,6,2,0,2,118,0,7,261,2,2c0c052c-9dcd-56da-bf0b-3cdb299cfec8
0.02,29,2,24,24,25439.0,0.25,0,0,4,123,5.0,445,96,578,7,0,0,2,118,0,7,284,2,0a5c46c4-bd5c-59c6-af40-9092e15cee7a
0.26,29,1,24,24,25439.0,0.25,0,0,4,123,5.0,445,96,578,7,0,0,2,118,0,7,284,2,0a5c46c4-bd5c-59c6-af40-9092e15cee7a
2.04,29,2,24,24,25439.0,0.25,1,0,4,123,5.0,445,96,578,7,3,0,2,118,0,7,284,2,0a5c46c4-bd5c-59c6-af40-9092e15cee7a
0.45,29,2,24,24,25439.0,0.25,1,0,4,123,5.0,445,96,578,7,1,1,2,118,0,7,284,2,0a5c46c4-bd5c-59c6-af40-9092e15cee7a
1.79,29,2,24,24,25439.0,0.25,1,0,4,123,5.0,445,96,578,7,1,0,2,118,0,7,284,2,0a5c46c4-bd5c-59c6-af40-9092e15cee7a
3.02,29,2,24,24,25439.0,0.25,1,0,4,123,5.0,445,96,578,7,2,0,2,118,0,7,284,2,0a5c46c4-bd5c-59c6-af40-9092e15cee7a
